v3,0,3.60382
v3,1,3.86213
v3,2,3.50521
v3,3,3.4393
v3,4,3.75022
v3,5,1.81529
v3,6,3.98646
v3,7,2.95078
v3,8,3.92599
v3,9,4.80026
v3,10,4.85452
v3,11,3.20632
v3,12,2.0
v3,13,4.0
v3,14,4.58583
v3,15,4.87301
v3,16,4.82303
v3,17,3.99488
v3,18,2.96516
v3,19,3.98852
v3,20,4.85946
v3,21,4.35944
v3,22,4.84364
v3,23,4.74892
v3,24,3.70225
v3,25,4.42183
v3,26,4.69742
v3,27,4.57373
v3,28,3.90722
v3,29,4.0
v3,30,5.55332
v3,31,4.64657
v3,32,4.62428
v3,33,6.17726
v3,34,4.47399
v3,35,4.91464
v3,36,4.0
v3,37,3.97977
v3,38,4.63209
v3,39,4.37385
