v2,0,4.12913
v2,1,4.11216
v2,2,3.91396
v2,3,3.07005
v2,4,2.61482
v2,5,2.86716
v2,6,3.74376
v2,7,3.83217
v2,8,2.71806
v2,9,3.68166
v2,10,5.3154
v2,11,2.74156
v2,12,2.91985
v2,13,3.47128
v2,14,2.79034
v2,15,3.16873
v2,16,3.92179
v2,17,3.02903
v2,18,4.20174
v2,19,2.70133
v2,20,2.58073
v2,21,4.32682
v2,22,2.9795
v2,23,2.55638
v2,24,3.1933
v2,25,4.73203
v2,26,2.92185
v2,27,2.58903
v2,28,3.35971
v2,29,3.92965
v2,30,4.19807
v2,31,4.25879
v2,32,3.10978
v2,33,3.78528
v2,34,3.60669
v2,35,3.49761
v2,36,2.77664
v2,37,3.93896
v2,38,4.49631
v2,39,4.73122
